continent,country,income,life_exp,population,year
asia,Cambodia,903.0,35.0,2090000,1800
africa,Namibia,540.0,32.4,229000,1800
asia,New Zealand,658.0,34.05,100000,1800
europe,Hungary,1249.0,36.0,3499771,1800
europe,Romania,815.0,35.7,5464085,1800
americas,Aruba,833.0,34.42,19286,1800
asia,Kazakhstan,1140.0,26.2,2041282,1800
asia,Philippines,962.0,30.9,1894389,1800
asia,Wallis et Futuna,,,3721,1800
europe,Armenia,514.0,34.0,413326,1800
asia,French Polynesia,,25.6,62530,1800
europe,San Marino,1401.0,,5492,1800
asia,Afghanistan,603.0,28.21,3280000,1800
americas,Cayman Islands,1039.0,,2439,1800
americas,Antigua and Barbuda,757.0,33.54,37000,1800
americas,Ecuador,529.0,32.9,500000,1800
europe,Spain,1518.0,29.5,11549294,1800
europe,Albania,667.0,35.4,410445,1800
americas,Mexico,1379.0,26.9,6181708,1800
asia,Pakistan,1021.0,25.8,13123633,1800
africa,Mayotte,,32.5,8219,1800
asia,Kiribati,551.0,24.9,17876,1800
asia,India,1052.0,25.44,168574895,1800
africa,Eritrea,532.0,30.2,205010,1800
americas,St. Lucia,874.0,28.01,24000,1800
americas,Grenada,959.0,31.4,29409,1800
asia,Mongolia,592.0,31.8,619000,1800
europe,Russia,1430.0,29.57,31088398,1800
americas,Turks and Caicos Islands,487.0,,3296,1800
europe,Poland,1213.0,35.9,9508747,1800
americas,Netherlands Antilles,,34.41,42536,1800
americas,Dominican Republic,667.0,29.9,89000,1800
europe,Serbia,1358.0,35.5,2147197,1800
asia,Bahrain,1235.0,30.3,64474,1800
americas,Jamaica,1170.0,34.2,401000,1800
americas,Belize,579.0,26.5,25526,1800
africa,Djibouti,752.0,29.9,22848,1800
africa,Cape Verde,529.0,33.8,55716,1800
africa,Sudan,518.0,31.4,3994154,1800
americas,Bermuda,1227.0,,9692,1800
asia,Bangladesh,876.0,25.5,19227357,1800
asia,Oman,915.0,32.3,318000,1800
africa,Central African Republic,424.0,30.0,479444,1800
europe,Moldova,621.0,33.15,712558,1800
africa,Guinea,450.0,29.5,983959,1800
africa,Equatorial Guinea,356.0,29.8,80377,1800
africa,Lesotho,393.0,32.8,276361,1800
africa,Chad,418.0,30.9,1432000,1800
europe,Bosnia and Herzegovina,669.0,35.1,851806,1800
asia,Japan,1050.0,36.4,30294378,1800
africa,Burundi,418.0,31.5,899097,1800
africa,Ghana,696.0,28.0,2016034,1800
africa,Burkina Faso,480.0,29.2,1665421,1800
africa,Angola,618.0,26.98,1567028,1800
europe,Bulgaria,1089.0,35.8,1992320,1800
africa,Morocco,715.0,33.1,2503218,1800
europe,Andorra,1197.0,,2654,1800
asia,Cook Is,,,16136,1800
europe,Holy See,,,905,1800
africa,Cameroon,626.0,28.75,1860054,1800
americas,Canada,1314.0,39.0,645526,1800
africa,Niger,446.0,30.8,1244861,1800
africa,Botswana,397.0,33.6,121000,1800
europe,Latvia,751.0,33.0,590588,1800
asia,"Micronesia, Fed. Sts.",518.0,26.7,16416,1800
americas,Guatemala,857.0,25.8,458965,1800
europe,Belarus,608.0,36.2,2355081,1800
europe,Faeroe Islands,,,13537,1800
asia,North Korea,579.0,26.0,4345000,1800
americas,Martinique,,30.15,84039,1800
americas,Guyana,1214.0,31.12,166034,1800
asia,"Hong Kong, China",1007.0,34.9,20000,1800
americas,Paraguay,835.0,35.5,143000,1800
asia,China,985.0,32.0,321675014,1800
asia,Iraq,970.0,31.2,1076920,1800
europe,Ireland,1447.0,38.3,4064749,1800
americas,Puerto Rico,1375.0,30.43,155000,1800
asia,Iran,977.0,25.6,6269721,1800
europe,Italy,2225.0,29.69,18822234,1800
americas,Trinidad and Tobago,1230.0,32.9,60000,1800
asia,Jordan,976.0,31.7,217000,1800
africa,Kenya,854.0,25.5,2574000,1800
asia,Kuwait,1097.0,26.0,81280,1800
asia,Nauru,554.0,,1834,1800
africa,Zimbabwe,869.0,33.7,1085814,1800
asia,Kyrgyz Republic,508.0,23.94,530343,1800
asia,Lao,864.0,31.9,470000,1800
americas,Barbados,913.0,32.12,81729,1800
asia,Israel,879.0,32.0,209954,1800
africa,Libya,1050.0,33.1,531472,1800
africa,Guinea-Bissau,777.0,32.0,218167,1800
europe,Lithuania,1270.0,28.9,778655,1800
europe,Luxembourg,1453.0,36.9,127030,1800
americas,Dominica,663.0,,19950,1800
europe,"Macedonia, FYR",690.0,36.1,391865,1800
africa,Madagascar,573.0,30.5,1543133,1800
africa,Malawi,350.0,30.3,737000,1800
asia,Australia,815.0,34.05,351014,1800
asia,Malaysia,997.0,30.6,287000,1800
americas,French Guiana,,30.5,9899,1800
europe,Malta,781.0,28.7,134072,1800
africa,Mauritania,527.0,32.0,382696,1800
africa,Mauritius,940.0,28.7,62865,1800
asia,Guam,,27.5,6053,1800
europe,Monaco,1948.0,,7789,1800
asia,Marshall Islands,539.0,,5828,1800
europe,Norway,1278.0,37.92,868570,1800
africa,Mozambique,390.0,30.28,1982324,1800
asia,Indonesia,994.0,30.0,16108545,1800
europe,Netherlands,4235.0,39.86,2254522,1800
americas,Nicaragua,973.0,25.4,219387,1800
africa,Nigeria,851.0,30.4,12100855,1800
africa,Seychelles,792.0,37.0,12522,1800
asia,Sri Lanka,898.0,32.6,1213000,1800
africa,Mali,603.0,26.41,1403398,1800
africa,Comoros,696.0,32.1,56346,1800
europe,Iceland,926.0,42.85,61428,1800
asia,Palestine,1220.0,32.1,165944,1800
americas,Panama,847.0,32.9,78842,1800
asia,Lebanon,1081.0,29.7,332000,1800
asia,Papua New Guinea,546.0,31.5,754894,1800
americas,Honduras,675.0,33.9,126118,1800
africa,Ethiopia,523.0,29.7,2948990,1800
asia,Brunei,1512.0,29.2,2128,1800
americas,Peru,1204.0,35.7,1314151,1800
americas,St.-Pierre-et-Miquelon,,,1782,1801
europe,Liechtenstein,,,5802,1801
europe,Faeroe Islands,,,13537,1801
europe,Channel Islands,,,43908,1801
americas,Anguilla,,,2025,1801
africa,Reunion,,33.0,92744,1801
americas,Netherlands Antilles,,34.41,42536,1801
americas,British Virgin Islands,,,6700,1801
asia,Guam,,27.5,6265,1801
europe,Gibraltar,,,9873,1801
americas,Guadeloupe,,27.66,80726,1801
asia,French Polynesia,,25.6,62609,1801
americas,French Guiana,,30.5,9899,1801
africa,Zimbabwe,870.0,33.7,1085814,1801
africa,Zambia,665.0,32.6,747000,1801
americas,Venezuela,682.0,32.2,718000,1801
americas,United States,2168.0,39.41,6933516,1801
europe,United Kingdom,3439.0,37.35,12483870,1801
asia,United Arab Emirates,1001.0,30.7,40153,1801
europe,Ukraine,764.0,36.6,11215490,1801
americas,Martinique,,30.15,84039,1801
asia,Tuvalu,719.0,,2499,1801
asia,Niue,,,4537,1801
africa,Tunisia,716.0,28.8,862673,1801
asia,Tonga,663.0,28.2,18654,1801
africa,Togo,683.0,31.3,445985,1801
asia,Timor-Leste,522.0,28.95,137262,1801
asia,Thailand,932.0,30.4,4665000,1801
africa,Tanzania,562.0,32.2,3019768,1801
asia,Tajikistan,557.0,24.24,466629,1801
europe,Switzerland,2701.0,38.0,1833734,1801
americas,Suriname,1637.0,32.9,80721,1801
africa,Sudan,518.0,31.4,3999435,1801
americas,St. Vincent and the Grenadines,838.0,25.99,25781,1801
americas,St. Lucia,875.0,28.01,24000,1801
africa,Western Sahara,,34.75,2788,1801
americas,St. Kitts and Nevis,1165.0,,17202,1801
africa,South Africa,1480.0,33.5,1446092,1801
europe,Slovenia,1409.0,36.6,469664,1801
europe,Slovak Republic,1427.0,36.4,2140651,1801
asia,Singapore,1021.0,29.1,30000,1801
africa,Sierra Leone,734.0,25.1,794264,1801
europe,Serbia,1358.0,35.5,2147197,1801
africa,Senegal,497.0,25.2,1009886,1801
africa,Sao Tome and Principe,852.0,31.0,22731,1801
europe,San Marino,1404.0,,5492,1801
asia,Samoa,1400.0,25.4,47292,1801
africa,Rwanda,432.0,25.0,928368,1801
europe,Russia,1432.0,29.57,31088398,1801
europe,Romania,816.0,35.7,5506976,1801
asia,Qatar,1101.0,30.8,14092,1801
americas,Puerto Rico,1375.0,30.43,158709,1801
europe,Greenland,393.0,33.87,9584,1801
europe,Bosnia and Herzegovina,669.0,35.1,851806,1801
africa,St. Helena,,,1997,1801
europe,Germany,1651.0,38.37,22983824,1801
asia,Uzbekistan,502.0,26.93,1919159,1801
americas,Dominican Republic,667.0,29.9,89000,1801
africa,Djibouti,754.0,29.9,22848,1801
europe,France,1806.0,36.37,29447067,1801
europe,Holy See,,,905,1801
asia,Myanmar,840.0,30.8,3506000,1801
europe,Greece,1374.0,36.6,2158925,1801
europe,Denmark,2017.0,38.51,1066957,1801
americas,Cuba,874.0,32.33,355457,1801
asia,New Caledonia,,26.0,29432,1801
europe,Czech Republic,1916.0,34.95,5516349,1801
europe,Cyprus,854.0,38.5,184412,1801
africa,Malawi,350.0,30.3,737000,1801
africa,"Congo, Rep.",576.0,32.7,314465,1801
asia,Vietnam,861.0,32.0,6551000,1801
asia,South Korea,575.0,25.8,9395000,1801
asia,Cook Is,,,16156,1801
americas,Turks and Caicos Islands,487.0,,3296,1801
europe,Finland,1246.0,40.3,986439,1801
europe,Georgia,543.0,31.87,1072178,1801
africa,Madagascar,573.0,30.5,1549842,1801
americas,Costa Rica,775.0,30.21,53000,1801
europe,Croatia,,36.1,1227886,1801
asia,Turkmenistan,944.0,24.0,367215,1801
africa,Chad,418.0,30.9,1432000,1801
africa,Liberia,797.0,31.1,313543,1801
americas,Virgin Islands (U.S.),,33.4,40000,1801
asia,Palestine,1221.0,32.1,165944,1801
africa,Ethiopia,523.0,29.7,2948990,1801
asia,Syria,1081.0,31.1,1337000,1801
americas,Barbados,914.0,32.12,81729,1801
africa,South Sudan,507.0,26.67,1028736,1801
asia,Vanuatu,586.0,24.3,27791,1801
asia,Northern Mariana Islands,,,3360,1801
asia,Saudi Arabia,846.0,32.1,2091000,1801
americas,Bahamas,1445.0,35.18,27350,1801
africa,Comoros,697.0,32.1,56346,1801
europe,Albania,667.0,35.4,411733,1801
asia,Kyrgyz Republic,508.0,23.94,530343,1801
americas,Bermuda,1227.0,,9706,1801
europe,Poland,1217.0,35.9,9552632,1801
americas,Falkland Is (Malvinas),,,100,1801
americas,Nicaragua,973.0,25.4,219387,1801
americas,Argentina,1508.0,33.2,534000,1801
africa,Gabon,390.0,30.6,158227,1801
africa,Ghana,696.0,28.0,2016034,1801
americas,Cayman Islands,1039.0,,2439,1801
americas,Brazil,1109.0,32.0,3678743,1801
europe,Isle of Man,,,23533,1801
americas,Trinidad and Tobago,1230.0,32.9,60000,1801
europe,Armenia,514.0,34.0,413326,1801
americas,El Salvador,975.0,28.7,248000,1801
europe,Sweden,1402.0,36.9,2354278,1801
europe,Austria,1855.0,34.4,3213566,1801
europe,Andorra,1199.0,,2654,1801
asia,Maldives,843.0,32.65,42378,1801
asia,Taiwan,996.0,28.3,2000000,1801
asia,Solomon Islands,363.0,25.1,56998,1801
europe,Estonia,939.0,35.7,334136,1801
africa,Angola,620.0,26.98,1567028,1801
europe,Luxembourg,1453.0,36.9,127030,1801
europe,Belarus,608.0,36.2,2355081,1801
americas,Ecuador,529.0,32.9,500000,1801
americas,Antigua and Barbuda,757.0,33.54,37000,1801
africa,Eritrea,532.0,30.2,205010,1801
asia,Afghanistan,603.0,28.2,3280000,1801
asia,Bahrain,1240.0,30.3,64474,1801
americas,Uruguay,1758.0,32.9,55000,1801
asia,Malaysia,997.0,30.6,287000,1801
africa,Botswana,397.0,33.6,121000,1801
americas,Belize,579.0,26.5,25526,1801
africa,Mauritius,940.0,28.7,64209,1801
africa,Algeria,716.0,28.82,2512195,1801
europe,Turkey,1221.0,35.0,9788268,1801
asia,Tokelau,,,1009,1801
americas,Paraguay,835.0,35.5,143000,1801
europe,Portugal,1685.0,35.6,3046117,1801
europe,Belgium,2413.0,40.01,3152306,1801
africa,Cote d'Ivoire,816.0,31.16,1088530,1801
africa,Guinea,450.0,29.51,983959,1801
americas,Dominica,663.0,,19950,1801
europe,Azerbaijan,775.0,29.17,879960,1801
americas,Guyana,1214.0,31.12,166034,1801
africa,Cameroon,626.0,28.75,1860054,1801
africa,Benin,597.0,31.0,636559,1801
asia,China,985.0,32.0,324408863,1801
americas,Montserrat,,,5230,1801
asia,Cambodia,904.0,35.0,2090000,1801
asia,Bhutan,629.0,28.8,89989,1801
africa,Equatorial Guinea,356.0,29.8,80377,1801
africa,"Congo, Dem. Rep.",487.0,31.6,5163819,1801
asia,India,1052.0,25.44,168907300,1801
africa,Gambia,813.0,28.8,103274,1801
africa,Somalia,694.0,29.4,991911,1801
europe,Netherlands,4161.0,39.86,2258383,1801
asia,Indonesia,994.0,30.0,16150710,1801
americas,Canada,1322.0,39.0,653134,1801
africa,Swaziland,490.0,32.3,86000,1801
asia,New Zealand,659.0,34.05,100000,1801
americas,Chile,1026.0,32.0,771447,1801
africa,Cape Verde,529.0,33.8,55716,1801
europe,Bulgaria,1089.0,35.84,2001629,1801
africa,Burkina Faso,480.0,29.2,1665421,1801
africa,Burundi,418.0,31.5,899097,1801
americas,Bolivia,854.0,33.0,1100000,1801
americas,Guatemala,857.0,25.8,464961,1801
africa,Egypt,791.0,33.0,4241026,1801
europe,Monaco,1950.0,,7789,1801
asia,Yemen,879.0,23.39,2593000,1801
africa,Guinea-Bissau,777.0,32.0,218167,1801
asia,Kuwait,1101.0,26.0,81280,1801
asia,Kiribati,551.0,24.9,17876,1801
europe,Ireland,1447.0,38.3,4109205,1801
africa,Central African Republic,424.0,30.0,479444,1801
asia,Brunei,1512.0,29.2,2128,1801
americas,Haiti,633.0,29.0,723000,1801
asia,"Micronesia, Fed. Sts.",518.0,26.7,16416,1801
americas,Honduras,675.0,33.9,130000,1801
asia,Wallis et Futuna,,,3721,1801
americas,Mexico,1379.0,26.9,6201367,1801
americas,Peru,1204.0,35.7,1314294,1801
africa,Seychelles,795.0,37.0,12522,1801
europe,Iceland,926.0,33.88,61428,1801
asia,American Samoa,,,8169,1801
africa,Mozambique,391.0,30.28,1987858,1801
africa,Mayotte,,32.5,8219,1801
asia,Iran,977.0,25.6,6283925,1801
asia,Iraq,970.0,31.2,1077718,1801
asia,Israel,880.0,32.0,209954,1801
europe,Italy,2197.0,29.69,18887712,1801
americas,Jamaica,1171.0,34.2,401000,1801
asia,Japan,1051.0,36.4,30329275,1801
asia,Jordan,976.0,31.7,217000,1801
asia,Kazakhstan,1141.0,26.2,2041282,1801
africa,Kenya,856.0,25.5,2574000,1801
africa,Nigeria,853.0,30.4,12100855,1801
americas,Panama,847.0,32.9,78842,1801
europe,Spain,1518.0,29.5,11581132,1801
asia,Pakistan,1021.0,25.8,13149511,1801
asia,"Hong Kong, China",1007.0,34.9,20000,1801
asia,Lao,865.0,31.9,470000,1801
americas,Colombia,963.0,32.0,1206000,1801
europe,Latvia,752.0,33.0,590588,1801
africa,Lesotho,393.0,32.8,276361,1801
africa,Niger,446.0,30.8,1244861,1801
africa,Libya,1050.0,33.1,531796,1801
europe,Lithuania,1271.0,28.9,778655,1801
asia,"Macao, China",992.0,34.7,17662,1801
europe,"Macedonia, FYR",690.0,36.1,391865,1801
asia,Sri Lanka,898.0,32.6,1213000,1801
africa,Mali,603.0,26.41,1403398,1801
europe,Hungary,1249.0,36.0,3529548,1801
europe,Malta,782.0,28.7,134072,1801
asia,Marshall Islands,539.0,,5828,1801
africa,Mauritania,528.0,32.0,382696,1801
americas,Grenada,959.0,31.4,29409,1801
asia,Mongolia,592.0,31.8,619000,1801
europe,Montenegro,1058.0,35.4,126582,1801
africa,Morocco,715.0,33.1,2512195,1801
africa,Uganda,464.0,25.3,2101397,1801
africa,Namibia,540.0,32.4,229000,1801
asia,Nauru,554.0,,1834,1801
asia,Lebanon,1082.0,29.7,332000,1801
asia,Nepal,654.0,32.8,3881000,1801
asia,Bangladesh,876.0,25.5,19265271,1801
asia,North Korea,578.0,26.0,4345000,1801
asia,Oman,916.0,32.3,318000,1801
europe,Norway,1280.0,35.82,873380,1801
asia,Australia,816.0,34.05,350143,1801
asia,Palau,839.0,,3875,1801
americas,Aruba,833.0,34.42,19286,1801
asia,Papua New Guinea,546.0,31.5,754894,1801
asia,Fiji,785.0,26.1,130746,1801
europe,Kosovo,,,383778,1801
asia,Philippines,962.0,30.9,1894389,1801
europe,Moldova,621.0,33.15,712558,1801
americas,St.-Pierre-et-Miquelon,,,1782,1802
asia,Niue,,,4536,1802
europe,Liechtenstein,,,5802,1802
europe,Channel Islands,,,43908,1802
americas,Anguilla,,,2025,1802
africa,Reunion,,33.0,92744,1802
americas,Netherlands Antilles,,34.41,42536,1802
americas,British Virgin Islands,,,6700,1802
asia,Guam,,27.5,6485,1802
americas,Guadeloupe,,27.66,80726,1802
asia,French Polynesia,,25.6,62687,1802
americas,French Guiana,,30.5,9899,1802
africa,Zimbabwe,871.0,33.7,1085814,1802
americas,Venezuela,682.0,32.2,718000,1802
asia,Vanuatu,586.0,24.3,27791,1802
americas,United States,2203.0,39.41,7067728,1802
europe,United Kingdom,3450.0,38.62,12642258,1802
asia,United Arab Emirates,1005.0,30.7,40153,1802
americas,Martinique,,30.15,84039,1802
asia,Tuvalu,719.0,,2499,1802
africa,Tunisia,716.0,28.8,863317,1802
asia,Tonga,663.0,28.2,18651,1802
asia,Timor-Leste,523.0,28.95,137262,1802
asia,Thailand,932.0,30.4,4665000,1802
africa,Tanzania,562.0,32.2,3019768,1802
asia,Tajikistan,557.0,24.24,466629,1802
africa,Togo,683.0,31.3,445985,1802
europe,Switzerland,2702.0,38.0,1841448,1802
americas,Suriname,1637.0,32.9,80721,1802
africa,Sudan,518.0,31.4,4004722,1802
americas,St. Vincent and the Grenadines,838.0,25.99,25781,1802
americas,St. Lucia,875.0,28.01,24000,1802
africa,Western Sahara,,34.75,2788,1802
americas,St. Kitts and Nevis,1165.0,,17202,1802
africa,South Africa,1480.0,33.5,1451383,1802
africa,Zambia,667.0,32.6,747000,1802
europe,Slovenia,1409.0,36.6,469664,1802
europe,Slovak Republic,1427.0,36.4,2140651,1802
asia,Singapore,1022.0,29.1,30000,1802
europe,Serbia,1358.0,35.5,2147197,1802
africa,Senegal,497.0,25.2,1009886,1802
africa,Sao Tome and Principe,853.0,31.0,22731,1802
europe,San Marino,1406.0,,5492,1802
africa,Rwanda,432.0,25.0,928368,1802
europe,Russia,1433.0,29.57,31088398,1802
europe,Romania,816.0,35.7,5550204,1802
asia,Qatar,1105.0,30.8,14092,1802
americas,Puerto Rico,1376.0,30.43,162507,1802
americas,Grenada,959.0,31.4,29409,1802
europe,Greenland,393.0,33.87,9584,1802
europe,Bosnia and Herzegovina,669.0,35.1,851806,1802
africa,St. Helena,,,1997,1802
europe,Greece,1376.0,36.6,2166723,1802
europe,Gibraltar,,,9873,1802
asia,Samoa,1401.0,25.4,47284,1802
europe,Germany,1663.0,38.37,23081140,1802
asia,Marshall Islands,540.0,,5828,1802
asia,Uzbekistan,502.0,26.93,1919159,1802
europe,France,1810.0,34.38,29539311,1802
europe,Holy See,,,905,1802
americas,Dominican Republic,667.0,29.9,89000,1802
asia,Myanmar,840.0,30.8,3506000,1802
europe,Denmark,2020.0,44.37,1071419,1802
americas,Cuba,884.0,32.45,366184,1802
asia,New Caledonia,,26.0,29432,1802
europe,Czech Republic,1916.0,34.95,5516349,1802
europe,Moldova,621.0,33.15,712558,1802
europe,Cyprus,854.0,38.5,184432,1802
africa,Malawi,350.0,30.3,737000,1802
africa,"Congo, Rep.",578.0,32.7,314465,1802
asia,Cook Is,,,16175,1802
asia,South Korea,575.0,25.8,9395000,1802
asia,Vietnam,861.0,32.0,6551000,1802
americas,Turks and Caicos Islands,487.0,,3296,1802
europe,Finland,1248.0,39.2,995294,1802
europe,Georgia,543.0,31.87,1072178,1802
africa,Madagascar,573.0,30.5,1556580,1802
americas,Costa Rica,775.0,30.21,53484,1802
asia,China,985.0,32.0,327165946,1802
europe,Croatia,,36.1,1227886,1802
asia,Turkmenistan,945.0,24.0,367215,1802
africa,Chad,418.0,30.9,1432000,1802
africa,Liberia,797.0,31.1,313543,1802
europe,Albania,668.0,35.4,413026,1802
americas,Virgin Islands (U.S.),,33.4,40000,1802
asia,Palestine,1221.0,32.1,165944,1802
africa,Ethiopia,523.0,29.7,2948990,1802
asia,Syria,1081.0,31.1,1337000,1802
americas,Barbados,914.0,32.12,81729,1802
africa,South Sudan,507.0,26.67,1030097,1802
asia,Northern Mariana Islands,,,3360,1802
americas,Belize,579.0,26.5,25526,1802
asia,Saudi Arabia,847.0,32.1,2091000,1802
africa,Comoros,697.0,32.1,56346,1802
europe,Azerbaijan,775.0,29.17,879960,1802
europe,Poland,1222.0,35.9,9596718,1802
americas,Argentina,1508.0,33.2,534000,1802
africa,Gabon,390.0,30.6,158227,1802
africa,Eritrea,532.0,30.2,205010,1802
africa,Ghana,697.0,28.0,2016034,1802
americas,Cayman Islands,1039.0,,2439,1802
americas,Trinidad and Tobago,1231.0,32.9,60000,1802
asia,Afghanistan,603.0,28.19,3280000,1802
americas,Brazil,1109.0,32.0,3718270,1802
americas,Bermuda,1228.0,,9720,1802
asia,Solomon Islands,363.0,25.1,56998,1802
europe,Estonia,940.0,35.26,334136,1802
europe,Armenia,514.0,34.0,413326,1802
europe,Andorra,1201.0,,2654,1802
europe,Isle of Man,,,23533,1802
europe,Austria,1863.0,34.4,3221565,1802
asia,Taiwan,996.0,28.3,2000000,1802
africa,Botswana,397.0,33.6,121000,1802
africa,Angola,623.0,26.98,1567028,1802
americas,El Salvador,975.0,28.7,248000,1802
europe,Luxembourg,1453.0,36.9,127030,1802
africa,Djibouti,757.0,29.9,22848,1802
asia,Bahrain,1246.0,30.3,64474,1802
europe,Sweden,1467.0,40.2,2360724,1802
americas,Ecuador,529.0,32.9,500000,1802
americas,Antigua and Barbuda,757.0,33.54,37000,1802
africa,Algeria,717.0,28.82,2521203,1802
asia,Malaysia,998.0,30.6,287000,1802
americas,Uruguay,1758.0,32.9,55000,1802
europe,Belarus,608.0,36.2,2355081,1802
americas,Falkland Is (Malvinas),,,100,1802
asia,Yemen,882.0,23.39,2593000,1802
americas,Paraguay,835.0,35.5,143000,1802
africa,Burkina Faso,480.0,29.2,1665421,1802
asia,Tokelau,,,1009,1802
europe,Portugal,1685.0,35.6,3058832,1802
europe,Faeroe Islands,,,13537,1802
africa,Cote d'Ivoire,819.0,31.16,1088530,1802
africa,Guinea,450.0,29.52,983959,1802
americas,Dominica,663.0,,19950,1802
americas,Guyana,1214.0,31.12,166034,1802
africa,Cameroon,626.0,28.75,1860054,1802
africa,Benin,597.0,31.0,636559,1802
americas,Montserrat,,,5230,1802
asia,Cambodia,904.0,35.0,2090000,1802
americas,Bahamas,1445.0,35.18,27350,1802
asia,Bhutan,630.0,28.8,89989,1802
africa,Mauritius,940.0,28.7,65581,1802
americas,Honduras,675.0,33.9,130258,1802
